,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360,mediana Dispositivos,mediana Sistema operativo,mediana Agrupación de canales predeterminada
67,84.0,11.0,15.0,1.1333333,17.0,68.0,16.0,8.0,76.0,0.0,28.0,34.097897,60.0,8.0,1.0,15.0,0.0,0.0,0.0,0.0,0,8.4,17.844887,38.0,0.0,9.0,37.0,21.0,16.807735,86.5,104.5151,100.866425,99.52464,100.1708,8.0,0.0,23.0
68,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,1.4142135,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.3,0.9,3.0,0.0,0.0,0.0,0.75,1.299038,86.36590296495957,104.5151,100.866425,99.52464,100.1708,0.0,0.0,0.0
69,57.0,3.0,4.0,1.0,4.0,57.0,0.0,1.0,56.0,0.0,19.0,26.166136,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.7,16.769318,57.0,0.0,0.0,0.0,14.25,24.681725,86.36590296495957,104.5151,100.866425,99.52464,100.1708,1.0,0.0,0.0
70,72.0,19.0,24.0,1.0,24.0,64.0,8.0,18.0,54.0,0.0,24.0,22.449944,48.0,16.0,5.0,1.0,0.0,2.0,0.0,0.0,0,7.2,14.393054,53.0,16.0,3.0,0.0,18.0,21.083168,86.36590296495957,104.5151,100.866425,99.52464,100.1708,18.0,1.0,9.5
71,25.0,11.0,13.0,1.0769231,14.0,20.0,5.0,4.0,21.0,0.0,8.333333,9.104334,20.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.5,5.9539905,9.0,4.0,4.0,8.0,6.25,2.2776084,85.5,104.5151,100.866425,99.52464,100.1708,4.0,0.0,6.0
72,60.0,7.0,8.0,1.125,9.0,46.0,14.0,2.0,58.0,0.0,20.0,26.88246,44.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0,6.0,13.326665,24.0,22.0,14.0,0.0,15.0,9.433981,78.0,104.5151,100.866425,99.52464,100.1708,2.0,0.0,18.0
73,72.0,7.0,10.0,1.0,10.0,72.0,0.0,3.0,69.0,0.0,24.0,31.843367,69.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.2,20.619408,67.0,1.0,3.0,1.0,18.0,28.301943,72.0,104.5151,100.866425,99.52464,100.1708,3.0,0.0,2.0
74,16.0,4.0,6.0,1.0,6.0,9.0,7.0,0.0,16.0,0.0,5.3333335,7.5424724,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.6,4.8,3.0,0.0,7.0,6.0,4.0,2.738613,72.0,104.5151,100.866425,99.52464,100.1708,0.0,0.0,4.5
75,24.0,4.0,5.0,1.0,5.0,24.0,0.0,11.0,13.0,0.0,8.0,5.715476,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.4,4.8207884,24.0,0.0,0.0,0.0,6.0,10.392304,72.0,104.5151,100.866425,99.52464,100.1708,11.0,0.0,0.0
76,40.0,3.0,4.0,1.0,4.0,37.0,3.0,35.0,5.0,0.0,13.333333,15.456031,5.0,2.0,0.0,0.0,0.0,0.0,33.0,0.0,0,4.0,9.787747,40.0,0.0,0.0,0.0,10.0,17.320509,68.5,104.5151,100.866425,99.52464,100.1708,5.0,0.0,0.0
