,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360,mediana Dispositivos,mediana Sistema operativo,mediana Agrupación de canales predeterminada
442,33.0,7.0,15.0,2.2727273,25.0,28.0,5.0,21.0,12.0,0.0,11.0,8.602325,12.0,17.0,0.0,0.0,0.0,4.0,0.0,0,0.0,3.6666667,6.0369234,22.0,1.0,10.0,0.0,8.25,8.84237,50.0,64.0,31.0,11.0,31.0,12.0,0.0,5.5
443,39.0,11.0,24.0,1.8235294,31.0,30.0,9.0,29.0,10.0,0.0,13.0,12.027745,9.0,24.0,0.0,1.0,0.0,5.0,0.0,0,0.0,4.3333335,7.5571895,30.0,0.0,8.0,1.0,9.75,12.090802,48.5,47.0,19.0,27.0,22.0,10.0,0.0,4.5
444,31.0,9.0,18.0,1.9375,31.0,23.0,8.0,18.0,13.0,0.0,10.333333,7.586538,13.0,7.0,0.0,0.0,0.0,11.0,0.0,0,0.0,3.4444444,5.079613,24.0,1.0,6.0,0.0,7.75,9.653367,44.0,75.0,29.0,23.0,4.0,13.0,0.0,3.5
445,115.0,28.0,44.0,1.4,56.0,109.0,6.0,96.0,19.0,0.0,38.333332,41.507698,19.0,85.0,0.0,0.0,0.0,11.0,0.0,0,0.0,12.777778,26.326065,82.0,1.0,32.0,0.0,28.75,33.326977,44.0,32.0,12.0,10.0,26.0,19.0,0.0,16.5
446,106.0,32.0,51.0,1.5,63.0,98.0,8.0,66.0,38.0,2.0,35.333332,26.195843,37.0,60.0,1.0,0.0,0.0,8.0,0.0,0,0.0,11.777778,20.508957,69.0,5.0,32.0,0.0,26.5,27.390692,48.5,58.0,25.0,3.0,45.0,38.0,0.0,18.5
447,52.0,13.0,30.0,1.9,38.0,47.0,5.0,39.0,13.0,0.0,17.333334,16.213848,12.0,36.0,1.0,0.0,0.0,3.0,0.0,0,0.0,5.7777777,11.301699,31.0,12.0,8.0,1.0,13.0,11.113055,50.0,35.0,11.0,7.0,45.0,13.0,0.0,10.0
448,50.0,14.0,25.0,1.75,35.0,45.0,5.0,34.0,16.0,0.0,16.666666,13.888445,15.0,34.0,1.0,0.0,0.0,0.0,0.0,0,0.0,5.5555553,11.076613,36.0,2.0,8.0,4.0,12.5,13.738631,49.5,44.0,8.0,3.0,72.0,16.0,0.0,6.0
449,35.0,8.0,13.0,1.3333334,16.0,31.0,4.0,24.0,11.0,0.0,11.666667,9.809293,10.0,23.0,0.0,1.0,0.0,1.0,0.0,0,0.0,3.8888888,7.415366,27.0,2.0,6.0,0.0,8.75,10.755813,49.5,57.0,20.0,16.0,26.0,11.0,0.0,4.0
450,59.0,20.0,35.0,1.6666666,45.0,54.0,5.0,37.0,22.0,0.0,19.666666,15.195028,22.0,33.0,0.0,0.0,0.0,4.0,0.0,0,0.0,6.5555553,11.557693,41.0,0.0,18.0,0.0,14.75,16.843025,49.5,82.0,17.0,6.0,34.0,22.0,0.0,9.0
451,68.0,21.0,32.0,1.5185186,41.0,58.0,10.0,45.0,23.0,0.0,22.666666,18.372684,22.0,38.0,0.0,1.0,0.0,7.0,0.0,0,0.0,7.5555553,12.755053,54.0,3.0,11.0,0.0,17.0,21.737064,49.5,74.0,49.0,6.0,7.0,23.0,0.0,7.0
452,123.0,36.0,54.0,1.5869565,73.0,60.0,63.0,95.0,28.0,0.0,41.0,39.85808,26.0,85.0,2.0,0.0,0.0,10.0,0.0,0,0.0,13.666667,26.50786,38.0,16.0,69.0,0.0,30.75,25.87832,50.5,13.0,36.0,12.0,13.0,28.0,0.0,27.0
453,73.0,11.0,33.0,1.75,42.0,65.0,8.0,48.0,25.0,0.0,24.333334,19.601587,23.0,42.0,2.0,0.0,0.0,6.0,0.0,0,0.0,8.111111,13.907987,41.0,8.0,23.0,1.0,18.25,15.352118,51.5,57.0,24.0,9.0,39.0,25.0,0.0,15.5
454,21.0,7.0,17.0,1.6666666,20.0,17.0,4.0,10.0,11.0,0.0,7.0,4.9665546,11.0,7.0,0.0,0.0,0.0,3.0,0.0,0,0.0,2.3333333,3.8005848,10.0,1.0,9.0,1.0,5.25,4.2646804,50.5,21.0,29.0,5.0,19.0,10.0,0.0,5.0
455,30.0,8.0,17.0,1.9230769,25.0,23.0,7.0,17.0,13.0,0.0,10.0,7.25718,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.3333333,6.3069625,19.0,0.0,11.0,0.0,7.5,8.01561,50.0,124.0,13.0,1.0,72.0,13.0,0.0,5.5
456,22.0,7.0,13.0,2.125,17.0,17.0,5.0,20.0,2.0,0.0,7.3333335,8.993825,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.4444444,6.2380753,12.0,0.0,10.0,0.0,5.5,5.545268,49.5,48.0,30.0,20.0,22.0,2.0,0.0,5.0
457,73.0,17.0,32.0,1.8181819,40.0,61.0,12.0,34.0,39.0,0.0,24.333334,17.326921,39.0,34.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.111111,15.220195,41.0,5.0,27.0,0.0,18.25,16.60384,50.5,24.0,27.0,5.0,17.0,34.0,0.0,16.0
458,127.0,21.0,36.0,1.7419355,54.0,104.0,23.0,81.0,43.0,3.0,42.333332,31.846855,39.0,81.0,4.0,0.0,0.0,3.0,0.0,0,0.0,14.111111,26.488758,43.0,10.0,74.0,0.0,31.75,29.12366,51.5,32.0,24.0,4.0,4.0,43.0,0.0,26.5
459,55.0,17.0,33.0,1.6923077,44.0,48.0,7.0,39.0,16.0,0.0,18.333334,16.006943,14.0,37.0,2.0,0.0,0.0,2.0,0.0,0,0.0,6.111111,11.723144,18.0,7.0,30.0,0.0,13.75,11.366068,50.0,57.0,20.0,3.0,33.0,16.0,0.0,12.5
460,92.0,31.0,49.0,1.4634147,60.0,83.0,9.0,57.0,34.0,1.0,30.666666,22.983086,32.0,55.0,2.0,0.0,0.0,3.0,0.0,0,0.0,10.222222,18.623627,51.0,6.0,34.0,1.0,23.0,20.481699,53.5,37.0,5.0,3.0,36.0,34.0,0.0,20.0
461,59.0,8.0,24.0,2.357143,33.0,36.0,23.0,39.0,20.0,0.0,19.666666,15.923428,11.0,38.0,9.0,0.0,0.0,1.0,0.0,0,0.0,6.5555553,11.833203,10.0,0.0,49.0,0.0,14.75,20.191273,56.5,52.0,10.0,2.0,50.0,20.0,0.0,5.0
462,102.0,34.0,47.0,1.5128205,59.0,97.0,5.0,83.0,19.0,0.0,34.0,35.505867,17.0,83.0,2.0,0.0,0.0,0.0,0.0,0,0.0,11.333333,25.875772,22.0,11.0,69.0,0.0,25.5,26.291634,56.5,60.0,14.0,4.0,7.0,19.0,0.0,16.5
463,40.0,18.0,28.0,1.7368422,33.0,27.0,13.0,37.0,3.0,0.0,13.333333,16.779617,1.0,34.0,2.0,0.0,0.0,3.0,0.0,0,0.0,4.4444447,10.499853,1.0,12.0,25.0,2.0,10.0,9.669539,53.5,38.0,9.0,3.0,6.0,3.0,0.0,7.0
464,49.0,16.0,33.0,2.1052632,40.0,38.0,11.0,34.0,15.0,0.0,16.333334,13.912424,14.0,24.0,0.0,1.0,0.0,10.0,0.0,0,0.0,5.4444447,8.207193,29.0,5.0,11.0,4.0,12.25,10.034316,53.5,18.0,18.0,3.0,4.0,15.0,0.0,8.0
465,56.0,13.0,28.0,2.1578948,41.0,43.0,13.0,35.0,16.0,5.0,18.666666,12.391753,16.0,30.0,0.0,0.0,0.0,10.0,0.0,0,0.0,6.2222223,10.041887,40.0,5.0,10.0,1.0,14.0,15.346009,53.5,110.0,27.0,1.0,15.0,16.0,0.0,7.5
466,77.0,17.0,35.0,2.0,52.0,67.0,10.0,52.0,25.0,0.0,25.666666,21.234144,25.0,44.0,0.0,0.0,0.0,8.0,0.0,0,0.0,8.555555,14.780702,41.0,4.0,32.0,0.0,19.25,17.59794,53.5,53.0,19.0,2.0,45.0,25.0,0.0,18.0
467,60.0,22.0,32.0,1.44,36.0,57.0,3.0,42.0,18.0,0.0,20.0,17.20465,17.0,38.0,1.0,0.0,0.0,4.0,0.0,0,0.0,6.6666665,12.247449,21.0,2.0,37.0,0.0,15.0,15.116217,53.5,53.0,99.0,4.0,15.0,18.0,0.0,11.5
468,49.0,10.0,28.0,1.7368422,33.0,45.0,4.0,26.0,23.0,0.0,16.333334,11.614167,19.0,25.0,2.0,2.0,0.0,1.0,0.0,0,0.0,5.4444447,8.995197,24.0,13.0,9.0,3.0,12.25,7.6607766,52.5,32.0,22.0,2.0,61.0,23.0,1.0,11.0
469,64.0,18.0,31.0,1.9523809,41.0,56.0,8.0,44.0,15.0,5.0,21.333334,16.539515,11.0,49.0,4.0,0.0,0.0,0.0,0.0,0,0.0,7.111111,15.212893,45.0,0.0,17.0,2.0,16.0,17.986105,55.0,44.0,15.0,2.0,54.0,15.0,0.0,9.5
470,27.0,4.0,14.0,1.8181819,20.0,25.0,2.0,19.0,6.0,2.0,9.0,7.25718,6.0,20.0,0.0,0.0,0.0,1.0,0.0,0,0.0,3.0,6.289321,18.0,0.0,9.0,0.0,6.75,7.4624057,55.0,21.0,24.0,4.0,40.0,6.0,0.0,4.5
471,59.0,17.0,37.0,1.962963,53.0,49.0,10.0,39.0,19.0,1.0,19.666666,15.520596,13.0,32.0,4.0,2.0,0.0,8.0,0.0,0,0.0,6.5555553,9.945531,24.0,15.0,19.0,1.0,14.75,8.55497,55.5,18.0,30.0,3.0,5.0,19.0,2.0,17.0
472,182.0,43.0,65.0,1.5263158,87.0,170.0,12.0,144.0,36.0,2.0,60.666668,60.538326,21.0,129.0,15.0,0.0,0.0,17.0,0.0,0,0.0,20.222221,39.321404,54.0,30.0,98.0,0.0,45.5,35.84341,57.0,38.0,13.0,8.0,8.0,36.0,0.0,42.0
473,79.0,26.0,44.0,1.8181819,60.0,63.0,16.0,51.0,27.0,1.0,26.333334,20.417856,26.0,47.0,1.0,0.0,0.0,5.0,0.0,0,0.0,8.777778,15.696977,30.0,2.0,47.0,0.0,19.75,19.702475,57.0,15.0,10.0,2.0,29.0,27.0,0.0,16.0
474,87.0,24.0,40.0,1.5294118,52.0,75.0,12.0,54.0,33.0,0.0,29.0,22.22611,30.0,47.0,3.0,0.0,0.0,7.0,0.0,0,0.0,9.666667,16.076208,41.0,18.0,28.0,0.0,21.75,14.972892,57.0,31.0,9.0,3.0,30.0,33.0,0.0,23.0
475,21.0,7.0,14.0,1.7,17.0,20.0,1.0,15.0,6.0,0.0,7.0,6.164414,6.0,14.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2.3333333,4.5215535,12.0,3.0,6.0,0.0,5.25,4.43706,57.0,17.0,13.0,2.0,59.0,6.0,0.0,4.5
476,62.0,16.0,31.0,1.7916666,43.0,58.0,4.0,51.0,11.0,0.0,20.666666,21.913973,11.0,43.0,0.0,0.0,0.0,8.0,0.0,0,0.0,6.888889,13.362006,40.0,3.0,17.0,2.0,15.5,15.337862,58.5,43.0,19.0,6.0,14.0,11.0,0.0,10.0
477,28.0,8.0,15.0,1.75,21.0,23.0,5.0,23.0,5.0,0.0,9.333333,9.877022,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.1111112,7.202537,16.0,3.0,9.0,0.0,7.0,6.1237245,58.5,57.0,5.0,5.0,9.0,5.0,0.0,6.0
478,20.0,4.0,12.0,2.0,14.0,18.0,2.0,18.0,2.0,0.0,6.6666665,8.055364,2.0,17.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2.2222223,5.2657757,15.0,1.0,4.0,0.0,5.0,5.9581876,55.5,22.0,6.0,1.0,54.0,2.0,0.0,2.5
479,42.0,11.0,26.0,1.6190476,34.0,36.0,6.0,32.0,10.0,0.0,14.0,13.366625,7.0,25.0,3.0,0.0,0.0,7.0,0.0,0,0.0,4.6666665,7.7172246,24.0,5.0,13.0,0.0,10.5,9.069179,54.0,35.0,58.0,1.0,34.0,10.0,0.0,9.0
480,62.0,18.0,33.0,1.7307693,45.0,57.0,5.0,45.0,17.0,0.0,20.666666,18.553226,17.0,40.0,0.0,0.0,0.0,5.0,0.0,0,0.0,6.888889,12.853399,16.0,1.0,45.0,0.0,15.5,18.172781,55.5,9.0,30.0,6.0,14.0,17.0,0.0,8.5
481,79.0,15.0,37.0,1.6129032,50.0,76.0,3.0,45.0,34.0,0.0,26.333334,19.154345,34.0,40.0,0.0,0.0,0.0,5.0,0.0,0,0.0,8.777778,15.229925,49.0,5.0,25.0,0.0,19.75,19.305117,55.5,13.0,18.0,3.0,17.0,34.0,0.0,15.0
482,34.0,14.0,22.0,1.5238096,32.0,26.0,8.0,18.0,15.0,1.0,11.333333,7.408704,11.0,16.0,0.0,4.0,0.0,3.0,0.0,0,0.0,3.7777777,5.5131717,19.0,4.0,11.0,0.0,8.5,7.228416,55.5,5.0,10.0,2.0,8.0,15.0,0.0,7.5
483,79.0,24.0,41.0,1.5882353,54.0,76.0,3.0,74.0,5.0,0.0,26.333334,33.767178,2.0,72.0,3.0,0.0,0.0,2.0,0.0,0,0.0,8.777778,22.379444,24.0,1.0,49.0,5.0,19.75,18.991774,57.0,26.0,17.0,4.0,9.0,5.0,0.0,14.5
484,34.0,9.0,21.0,1.6875,27.0,32.0,2.0,30.0,4.0,0.0,11.333333,13.299958,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.7777777,9.354473,15.0,2.0,16.0,1.0,8.5,7.017834,52.0,23.0,22.0,2.0,22.0,4.0,0.0,8.5
485,54.0,12.0,31.0,2.0952382,44.0,46.0,8.0,33.0,21.0,0.0,18.0,13.638182,18.0,31.0,2.0,1.0,0.0,2.0,0.0,0,0.0,6.0,10.381608,33.0,2.0,19.0,0.0,13.5,13.462912,56.5,74.0,23.0,3.0,52.0,21.0,1.0,10.5
486,58.0,15.0,34.0,1.8,45.0,43.0,15.0,32.0,25.0,1.0,19.333334,13.274872,23.0,23.0,1.0,1.0,0.0,10.0,0.0,0,0.0,6.4444447,9.346552,40.0,5.0,13.0,0.0,14.5,15.435349,56.0,61.0,22.0,1.0,27.0,25.0,1.0,9.0
487,90.0,21.0,37.0,1.8965517,55.0,81.0,9.0,70.0,20.0,0.0,30.0,29.439203,20.0,55.0,0.0,0.0,0.0,15.0,0.0,0,0.0,10.0,17.480148,34.0,11.0,45.0,0.0,22.5,17.867569,56.0,55.0,41.0,3.0,47.0,20.0,0.0,22.5
488,84.0,17.0,38.0,2.0357144,57.0,69.0,15.0,54.0,30.0,0.0,28.0,22.090721,24.0,39.0,6.0,0.0,0.0,15.0,0.0,0,0.0,9.333333,13.224556,55.0,8.0,21.0,0.0,21.0,21.011902,58.0,63.0,27.0,6.0,23.0,30.0,0.0,14.5
489,30.0,6.0,20.0,2.142857,30.0,24.0,6.0,15.0,15.0,0.0,10.0,7.071068,13.0,8.0,0.0,2.0,0.0,7.0,0.0,0,0.0,3.3333333,4.5460606,28.0,0.0,2.0,0.0,7.5,11.863811,56.0,33.0,40.0,3.0,8.0,15.0,0.0,1.0
490,80.0,17.0,35.0,1.8928572,53.0,75.0,5.0,54.0,26.0,0.0,26.666666,22.050447,19.0,52.0,4.0,3.0,0.0,2.0,0.0,0,0.0,8.888889,16.271614,41.0,10.0,29.0,0.0,20.0,15.984367,59.0,66.0,52.0,1.0,22.0,26.0,2.0,19.5
491,32.0,13.0,21.0,1.5555556,28.0,28.0,4.0,24.0,8.0,0.0,10.666667,9.977753,4.0,24.0,3.0,0.0,1.0,0.0,0.0,0,0.0,3.5555556,7.3652506,18.0,2.0,12.0,0.0,8.0,7.3484693,58.0,38.0,27.0,5.0,29.0,8.0,0.0,7.0
492,58.0,12.0,29.0,1.7391304,40.0,51.0,7.0,31.0,27.0,0.0,19.333334,13.767918,20.0,27.0,5.0,2.0,0.0,4.0,0.0,0,0.0,6.4444447,9.4293995,33.0,1.0,23.0,1.0,14.5,13.955286,58.0,70.0,11.0,4.0,39.0,27.0,2.0,12.0
493,57.0,12.0,26.0,1.5833334,38.0,46.0,11.0,34.0,23.0,0.0,19.0,14.165687,19.0,22.0,4.0,0.0,0.0,12.0,0.0,0,0.0,6.3333335,8.459052,36.0,9.0,12.0,0.0,14.25,13.311179,57.5,118.0,41.0,5.0,24.0,23.0,0.0,10.5
