,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360
16,44.0,14.0,21.0,1.0952381,23.0,41.0,3.0,17.0,27.0,0.0,14.666667,11.145502,25.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,8.511169,9.0,2.0,33.0,0.0,11.0,13.133925,22.02433234421365,32.2905,33.648197,34.116962,34.36589
17,55.0,14.0,18.0,1.2777778,23.0,54.0,1.0,28.0,27.0,0.0,18.333334,12.970051,26.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.5,10.763364,18.0,5.0,32.0,0.0,13.75,12.417226,22.02433234421365,32.2905,33.648197,34.116962,34.36589
18,9.0,2.0,5.0,1.0,5.0,9.0,0.0,6.0,3.0,0.0,3.0,2.4494898,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9,1.6401219,0.0,0.0,9.0,0.0,2.25,3.8971143,22.02433234421365,32.2905,33.648197,34.116962,34.36589
19,38.0,13.0,19.0,1.0,19.0,36.0,2.0,16.0,22.0,0.0,12.666667,9.285592,12.0,16.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,3.8,5.5641713,11.0,3.0,24.0,0.0,9.5,9.287087,22.02433234421365,32.2905,33.648197,34.116962,34.36589
20,109.0,12.0,17.0,1.2352941,21.0,108.0,1.0,13.0,96.0,0.0,36.333332,42.523197,82.0,10.0,2.0,11.0,1.0,3.0,0.0,0.0,0.0,10.9,24.022697,9.0,78.0,22.0,0.0,27.25,30.32635,22.02433234421365,32.2905,33.648197,34.116962,34.36589
21,83.0,21.0,32.0,1.15625,37.0,81.0,2.0,40.0,43.0,0.0,27.666666,19.601587,40.0,39.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,8.3,15.614416,31.0,13.0,39.0,0.0,20.75,15.2376995,22.02433234421365,32.2905,33.648197,34.116962,34.36589
22,109.0,20.0,31.0,1.1612903,36.0,106.0,3.0,38.0,71.0,0.0,36.333332,29.009577,69.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,22.407366,44.0,49.0,16.0,0.0,27.25,20.141685,22.02433234421365,32.2905,33.648197,34.116962,34.36589
23,61.0,15.0,30.0,1.2333333,37.0,60.0,1.0,33.0,28.0,0.0,20.333334,14.522014,20.0,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,10.866922,20.0,8.0,33.0,0.0,15.25,12.47748,22.02433234421365,32.2905,33.648197,34.116962,34.36589
24,79.0,26.0,33.0,1.3030303,43.0,77.0,2.0,51.0,28.0,0.0,26.333334,20.85399,27.0,50.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.9,16.145897,22.0,8.0,48.0,1.0,19.75,17.977417,22.02433234421365,32.2905,33.648197,34.116962,34.36589
25,42.0,5.0,11.0,1.5454545,17.0,42.0,0.0,27.0,15.0,0.0,14.0,11.045361,10.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,8.231647,19.0,0.0,23.0,0.0,10.5,10.5948105,22.02433234421365,32.2905,33.648197,34.116962,34.36589
26,65.0,20.0,28.0,1.1428572,32.0,65.0,0.0,29.0,36.0,0.0,21.666666,15.584893,32.0,27.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,6.5,11.595258,11.0,32.0,21.0,1.0,16.25,11.519006,22.02433234421365,32.2905,33.648197,34.116962,34.36589
27,131.0,38.0,53.0,1.2075472,64.0,128.0,3.0,42.0,88.0,1.0,43.666668,35.537148,79.0,39.0,2.0,5.0,1.0,4.0,0.0,1.0,0.0,13.1,24.6838,70.0,17.0,44.0,0.0,32.75,26.621185,22.02433234421365,32.2905,33.648197,34.116962,34.36589
28,38.0,12.0,22.0,1.0454545,23.0,38.0,0.0,17.0,21.0,0.0,12.666667,9.104334,19.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.8,7.1386275,8.0,6.0,24.0,0.0,9.5,8.87412,22.02433234421365,32.2905,33.648197,34.116962,34.36589
29,84.0,19.0,28.0,1.0357143,29.0,81.0,3.0,19.0,65.0,0.0,28.0,27.288582,65.0,13.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,8.4,19.27278,26.0,49.0,9.0,0.0,21.0,18.668154,22.02433234421365,32.2905,33.648197,34.116962,34.36589
30,51.0,9.0,20.0,1.3,26.0,49.0,2.0,23.0,28.0,0.0,17.0,12.192894,11.0,14.0,17.0,0.0,0.0,8.0,1.0,0.0,0.0,5.1,6.410148,22.0,0.0,29.0,0.0,12.75,12.987975,22.02433234421365,32.2905,33.648197,34.116962,34.36589
31,29.0,9.0,14.0,1.2857143,18.0,28.0,1.0,7.0,22.0,0.0,9.666667,9.177267,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,6.7,20.0,0.0,9.0,0.0,7.25,8.2272415,22.02433234421365,32.2905,33.648197,34.116962,34.36589
32,27.0,7.0,10.0,1.3,13.0,26.0,1.0,21.0,6.0,0.0,9.0,8.83176,5.0,14.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.7,4.4508424,24.0,0.0,3.0,0.0,6.75,10.034316,22.02433234421365,32.2905,33.648197,34.116962,34.36589
33,44.0,14.0,21.0,1.1428572,24.0,42.0,2.0,9.0,35.0,0.0,14.666667,14.839887,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,10.547037,6.0,14.0,19.0,5.0,11.0,5.7879186,22.02433234421365,32.2905,33.648197,34.116962,34.36589
34,39.0,13.0,16.0,1.125,18.0,36.0,3.0,9.0,30.0,0.0,13.0,12.569805,29.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.9,8.780091,29.0,0.0,10.0,0.0,9.75,11.84008,22.02433234421365,32.2905,33.648197,34.116962,34.36589
35,57.0,19.0,23.0,1.1304348,26.0,47.0,10.0,25.0,32.0,0.0,19.0,13.735599,30.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,10.973149,21.0,0.0,35.0,1.0,14.25,14.618053,22.02433234421365,32.2905,33.648197,34.116962,34.36589
36,42.0,10.0,14.0,1.0,14.0,42.0,0.0,34.0,8.0,0.0,14.0,14.51436,8.0,24.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.2,7.50733,19.0,19.0,4.0,0.0,10.5,8.616844,22.02433234421365,32.2905,33.648197,34.116962,34.36589
37,51.0,16.0,21.0,1.1428572,24.0,48.0,3.0,29.0,22.0,0.0,17.0,12.355835,22.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.1,10.044401,19.0,7.0,24.0,1.0,12.75,9.175375,22.02433234421365,32.2905,33.648197,34.116962,34.36589
38,55.0,15.0,20.0,1.25,25.0,51.0,4.0,36.0,19.0,0.0,18.333334,14.704496,18.0,35.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5,11.17363,23.0,3.0,29.0,0.0,13.75,12.47748,22.02433234421365,32.2905,33.648197,34.116962,34.36589
39,15.0,5.0,5.0,1.2,6.0,11.0,4.0,9.0,6.0,0.0,5.0,3.7416575,0.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.5,2.8017852,10.0,0.0,5.0,0.0,3.75,4.145781,22.02433234421365,32.2905,33.648197,34.116962,34.36589
40,40.0,15.0,20.0,1.3,26.0,40.0,0.0,17.0,23.0,0.0,13.333333,9.741093,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.11172,13.0,0.0,24.0,3.0,10.0,9.407444,22.02433234421365,32.2905,33.648197,34.116962,34.36589
41,44.0,18.0,26.0,1.1153846,29.0,40.0,4.0,24.0,20.0,0.0,14.666667,10.498677,17.0,22.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,4.4,7.6576757,17.0,2.0,25.0,0.0,11.0,10.416333,22.02433234421365,32.2905,33.648197,34.116962,34.36589
